Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureOutOfBagError
'WDBC_prepared-weka.filters.unsupervised.attribute.RenameNominalValues-weka.filters.unsupervised.attribute.RenameNominalValues-Rdiagnosis-NM:0,B:1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0',1,1,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 15 -W weka.classifiers.lazy.IBk -- -K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-115879962237199703,2.01906041953E7,512.0,57.0,51.0,6.0,0.0,89.47368421052632,10.526315789473685,0.0,0.759493670886076,0.1294050027105882,0.2502661589395691,27.726398781737668,51.87900351648551,54.123379176780546,15.423715817098316,38.69966335968223,0.9495329680136938,0.27059150556312833,0.6789414624505655,39.470664977401256,0.6924678066210747,72.92719999702929,0.7142857142857143,15.0,0.0,0.0,1.0,36.0,0.2857142857142857,6.0,1.0,0.7142857142857143,0.8333333333333333,0.7824607964359516,0.9854497354497355,0.9755639119018156,0.8947368421052632,0.18045112781954886,0.8195488721804511,0.10526315789473684,0.9097744360902255,0.8947368421052632,0.8900134952766531,0.7824607964359516,0.9854497354497355,0.9860886744803969,0.8782051282051282,0.8947368421052632,0.012,0.135,0.006365,0.114554,6.365,114.554,340245.0,144714.0,18679.0,100.0,68.42105263157895,?,-1.0
'WDBC_prepared-weka.filters.unsupervised.attribute.RenameNominalValues-weka.filters.unsupervised.attribute.RenameNominalValues-Rdiagnosis-NM:0,B:1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0',1,2,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 15 -W weka.classifiers.lazy.IBk -- -K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-115879962237199703,2.01906041953E7,512.0,57.0,50.0,7.0,0.0,87.71929824561404,12.280701754385966,0.0,0.7223382045929018,0.1268055469730277,0.2581483127178205,27.169437730113806,53.51293710667628,54.123379176780546,16.453986130891273,37.66939304588927,0.9495329680136938,0.2886664233489697,0.660866544664724,39.771776646035335,0.6977504674743041,73.48354306579921,0.7142857142857143,15.0,0.027777777777777776,1.0,0.9722222222222222,35.0,0.2857142857142857,6.0,0.9375,0.7142857142857143,0.8108108108108109,0.7369780284390155,0.9788359788359788,0.9668722860673326,0.8771929824561403,0.19068504594820385,0.8093149540517961,0.12280701754385964,0.8845474967907574,0.8771929824561403,0.8728824518298202,0.7369780284390155,0.978835978835979,0.9804467724298261,0.85995085995086,0.8771929824561403,0.006,0.124,0.0056619999999999995,0.119006,5.662,119.006,340237.0,144714.0,18679.0,100.0,69.29824561403508,?,-1.0
'WDBC_prepared-weka.filters.unsupervised.attribute.RenameNominalValues-weka.filters.unsupervised.attribute.RenameNominalValues-Rdiagnosis-NM:0,B:1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0',1,3,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 15 -W weka.classifiers.lazy.IBk -- -K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-115879962237199703,2.01906041953E7,512.0,57.0,54.0,3.0,0.0,94.73684210526316,5.2631578947368425,0.0,0.8834355828220858,0.11994000058628834,0.22834977513232615,25.698421363003305,47.3358397206998,54.123379176780546,14.07514503413132,40.04823414264923,0.9495329680136938,0.2469323690198477,0.7026005989938461,41.25144391841922,0.7237095424284073,76.21742128051844,0.8571428571428571,18.0,0.0,0.0,1.0,36.0,0.14285714285714285,3.0,1.0,0.8571428571428571,0.923076923076923,0.8894991799933214,0.9867724867724867,0.9818840579710144,0.9473684210526315,0.09022556390977443,0.9097744360902255,0.05263157894736842,0.9514170040485831,0.9473684210526315,0.9463967611336033,0.8894991799933215,0.9867724867724867,0.988317564373847,0.9415384615384615,0.9473684210526315,0.005,0.118,0.0057859999999999995,0.11561,5.786,115.61,340237.0,144714.0,18679.0,100.0,68.42105263157895,?,-1.0
'WDBC_prepared-weka.filters.unsupervised.attribute.RenameNominalValues-weka.filters.unsupervised.attribute.RenameNominalValues-Rdiagnosis-NM:0,B:1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0',1,4,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 15 -W weka.classifiers.lazy.IBk -- -K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-115879962237199703,2.01906041953E7,512.0,57.0,54.0,3.0,0.0,94.73684210526316,5.2631578947368425,0.0,0.8857715430861722,0.08017533647863317,0.17661250467321296,17.178418956786544,36.610945682070266,54.123379176780546,8.711029192534422,45.41234998424612,0.9495329680136938,0.15282507355323546,0.7967078944604582,45.42758300160896,0.7969751403791046,83.93338274986687,0.9047619047619048,19.0,0.027777777777777776,1.0,0.9722222222222222,35.0,0.09523809523809523,2.0,0.95,0.9047619047619048,0.9268292682926829,0.8864143349643965,0.9947089947089947,0.9915302089215133,0.9473684210526315,0.07038429406850459,0.9296157059314955,0.05263157894736842,0.9474395448079658,0.9473684210526315,0.9470870627956459,0.8864143349643965,0.9947089947089947,0.9950078728833396,0.942866688940862,0.9473684210526315,0.007,0.12,0.0061849999999999995,0.116922,6.185,116.922,340205.0,144714.0,18679.0,100.0,65.78947368421052,?,-1.0
'WDBC_prepared-weka.filters.unsupervised.attribute.RenameNominalValues-weka.filters.unsupervised.attribute.RenameNominalValues-Rdiagnosis-NM:0,B:1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0',1,5,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 15 -W weka.classifiers.lazy.IBk -- -K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-115879962237199703,2.01906041953E7,512.0,57.0,55.0,2.0,0.0,96.49122807017544,3.508771929824561,0.0,0.9230769230769231,0.07621734478001167,0.19040235573658043,16.330377119824334,39.469517271771295,54.123379176780546,16.661359547362096,37.46201962941845,0.9495329680136938,0.2923045534624929,0.6572284145512008,46.08387080933506,0.8084889615672818,85.14596004586772,0.9047619047619048,19.0,0.0,0.0,1.0,36.0,0.09523809523809523,2.0,1.0,0.9047619047619048,0.9500000000000001,0.9258200997725514,0.9828042328042328,0.9817927170868347,0.9649122807017544,0.06015037593984962,0.9398496240601504,0.03508771929824561,0.966759002770083,0.9649122807017544,0.9645092460881936,0.9258200997725514,0.9828042328042327,0.985873491252411,0.9614864864864865,0.9649122807017544,0.012,0.113,0.005175,0.11165,5.175,111.65,340229.0,144714.0,18679.0,98.24561403508773,63.1578947368421,?,-1.0
'WDBC_prepared-weka.filters.unsupervised.attribute.RenameNominalValues-weka.filters.unsupervised.attribute.RenameNominalValues-Rdiagnosis-NM:0,B:1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0',1,6,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 15 -W weka.classifiers.lazy.IBk -- -K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-115879962237199703,2.01906041953E7,512.0,57.0,55.0,2.0,0.0,96.49122807017544,3.508771929824561,0.0,0.9230769230769231,0.09278025049298348,0.19462582495165143,19.8791559086107,40.345022674454775,54.123379176780546,10.325369182150382,43.79800999463016,0.9495329680136938,0.18114682775702426,0.7683861402566695,44.27981097251383,0.7768387889914706,81.81272427186197,0.9047619047619048,19.0,0.0,0.0,1.0,36.0,0.09523809523809523,2.0,1.0,0.9047619047619048,0.9500000000000001,0.9258200997725514,0.9933862433862434,0.9908424908424909,0.9649122807017544,0.06015037593984962,0.9398496240601504,0.03508771929824561,0.966759002770083,0.9649122807017544,0.9645092460881936,0.9258200997725514,0.9933862433862434,0.9941158119176695,0.9614864864864865,0.9649122807017544,0.005,0.116,0.004856,0.114851,4.856,114.851,340197.0,144714.0,18679.0,100.0,65.78947368421052,?,-1.0
'WDBC_prepared-weka.filters.unsupervised.attribute.RenameNominalValues-weka.filters.unsupervised.attribute.RenameNominalValues-Rdiagnosis-NM:0,B:1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0',1,7,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 15 -W weka.classifiers.lazy.IBk -- -K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-115879962237199703,2.01906041953E7,512.0,57.0,53.0,4.0,0.0,92.98245614035088,7.017543859649122,0.0,0.8461538461538461,0.12681470625424898,0.2742275484930312,27.171400203576002,56.846087432949446,54.123379176780546,25.3477250240875,28.775654152693047,0.9495329680136938,0.4446969302471491,0.5048360377665447,40.03935024229655,0.7024447410929219,73.97792017294037,0.8571428571428571,18.0,0.027777777777777776,1.0,0.9722222222222222,35.0,0.14285714285714285,3.0,0.9473684210526315,0.8571428571428571,0.9,0.8486684247915055,0.9682539682539683,0.9267588941682263,0.9298245614035088,0.10045948203842939,0.8995405179615705,0.07017543859649122,0.9307479224376731,0.9298245614035088,0.9290184921763869,0.8486684247915054,0.9682539682539683,0.9637244852354028,0.922972972972973,0.9298245614035088,0.005,0.111,0.004869,0.11012699999999999,4.869,110.127,340197.0,144714.0,18679.0,98.24561403508773,65.78947368421052,?,-1.0
'WDBC_prepared-weka.filters.unsupervised.attribute.RenameNominalValues-weka.filters.unsupervised.attribute.RenameNominalValues-Rdiagnosis-NM:0,B:1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0',1,8,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 15 -W weka.classifiers.lazy.IBk -- -K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-115879962237199703,2.01906041953E7,512.0,57.0,54.0,3.0,0.0,94.73684210526316,5.2631578947368425,0.0,0.8880157170923378,0.07092594254847259,0.17109864074848116,15.067712745886084,35.13071132027664,54.87850267297728,7.796370158481636,47.08213251449564,0.9627807486487242,0.13677842383301117,0.826002324815713,47.15562351770698,0.8272916406615259,85.92731437792466,0.9090909090909091,20.0,0.02857142857142857,1.0,0.9714285714285714,34.0,0.09090909090909091,2.0,0.9523809523809523,0.9090909090909091,0.9302325581395349,0.8886350389948482,0.9974025974025974,0.9959575997125404,0.9473684210526315,0.06684894053315106,0.9331510594668488,0.05263157894736842,0.9475076580339737,0.9473684210526315,0.9471270708707571,0.8886350389948482,0.9974025974025974,0.9974914585898569,0.9439895185063871,0.9473684210526315,0.005,0.114,0.0048200000000000005,0.110692,4.82,110.692,340213.0,144714.0,18679.0,100.0,61.40350877192982,?,-1.0
'WDBC_prepared-weka.filters.unsupervised.attribute.RenameNominalValues-weka.filters.unsupervised.attribute.RenameNominalValues-Rdiagnosis-NM:0,B:1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0',1,9,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 15 -W weka.classifiers.lazy.IBk -- -K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-115879962237199703,2.01906041953E7,512.0,57.0,52.0,5.0,0.0,91.2280701754386,8.771929824561404,0.0,0.8101265822784809,0.14893487284276954,0.2976809403427219,31.64015593174869,61.12113535783006,54.87850267297728,36.466041472446804,18.412461200530473,0.9627807486487242,0.6397551135516983,0.3230256350970258,38.38546941912136,0.6734292880547607,69.94627686520818,0.8181818181818182,18.0,0.02857142857142857,1.0,0.9714285714285714,34.0,0.18181818181818182,4.0,0.9473684210526315,0.8181818181818182,0.8780487804878049,0.8154355063002009,0.9298701298701298,0.8946872281392649,0.9122807017543859,0.12267031214399637,0.8773296878560036,0.08771929824561403,0.9150507848568791,0.9122807017543859,0.9108739104694579,0.8154355063002009,0.9298701298701298,0.9298480571244664,0.9047778149014367,0.9122807017543859,0.005,0.124,0.004937,0.11842100000000001,4.937,118.421,340229.0,144714.0,18679.0,96.49122807017544,70.17543859649123,?,-1.0
'WDBC_prepared-weka.filters.unsupervised.attribute.RenameNominalValues-weka.filters.unsupervised.attribute.RenameNominalValues-Rdiagnosis-NM:0,B:1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0',1,10,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 15 -W weka.classifiers.lazy.IBk -- -K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-115879962237199703,2.01906041953E7,513.0,56.0,48.0,8.0,0.0,85.71428571428571,14.285714285714286,0.0,0.6893203883495145,0.19552449234532607,0.34194077635786985,41.76054476219508,70.63026403694943,53.4491279065209,35.53903899207215,17.91008891444875,0.9544487126164446,0.6346256962870027,0.31982301632944193,31.481711603533018,0.562173421491661,58.90032791291285,0.7619047619047619,16.0,0.08571428571428572,3.0,0.9142857142857143,32.0,0.23809523809523808,5.0,0.8421052631578947,0.7619047619047619,0.8,0.6914090450089236,0.9129251700680272,0.8843819026813279,0.8571428571428571,0.18095238095238095,0.8190476190476189,0.14285714285714285,0.8563300142247511,0.8571428571428571,0.8555555555555555,0.6914090450089236,0.9129251700680273,0.9227188935015105,0.8444444444444446,0.8571428571428571,0.005,0.11,0.004863,0.108821,4.863,108.821,340866.0,144991.0,18402.0,96.42857142857143,69.64285714285714,?,-1.0
